Locality,Postal code,Type,Build,Price,Number_rooms,Fully_equipped_kitchen,Furnished,Open_fire,Terrace,Ter_Area,Garden,Area_garden,Livable_surface_area,Surface_area_land,Numb_facades,Swimming_pool,State
Hoboken,2660,Appartement,1,149000€,2,1,0,0,1,1,0,,92,,3,0,À rénover
Aywaille,4920,Résidence de la Heid,0,De 190000€ À 235000€,,0,0,0,0,,0,,,,,0,
Uccle,1180,Appartement,1,198000€,1,0,0,0,1,15,0,,76,,2,0,Bon
Ganshoren,1083,Appartement,1,265000€,4,0,0,0,1,13,0,,90,,4,0,Excellent état
Ostende,8400,Appartement,1,410000€,3,0,0,0,1,2,0,,109,,,0,À rénover
Willebroek,2830,Maison,1,425000€,4,0,0,0,1,30,0,,185,272,3,0,Bon
Ixelles,1050,Duplex,1,545000€,3,1,0,0,0,,0,,140,,2,0,Excellent état
Bruxelles,1000,Appartement,1,1795000€,4,1,0,1,1,400,0,,650,,3,0,Excellent état
Ixelles,1050,Maison de maître,1,3800000€,5,1,0,0,1,40,0,,752,340,2,0,Fraîchement rénové
Pepinster,4860,Maison,1,320000€,5,1,0,0,1,30,1,1200,231,1421,3,0,Excellent état
Auderghem,1160,Delta Campus,0,De 127000€ À 166000€,,0,0,0,0,,0,,,,,0,
Marcinelle,6001,Val Au Bois,0,De 165000€ À 420000€,,0,0,0,0,,0,,,,,0,
Renaix,9600,Appartement,1,195000€,2,0,0,0,0,,0,,75,,2,0,Bon
Couillet,6010,Triplex,1,235000€,3,1,0,0,1,15,0,,149,,2,0,Excellent état
Liège,4020,Maison,1,295000€,5,1,0,0,1,32,1,28,160,154,2,0,Fraîchement rénové
Anderlecht,1070,Appartement,1,320000€,3,1,0,0,1,14,0,,130,,2,0,Excellent état
Feluy,7181,Villa,1,325000€,2,0,0,0,1,30,1,600,130,1043,4,0,À rafraîchir
Bruxelles,1000,Park Lane - Admiral,0,De 336000€ À 610000€,,0,0,0,0,,0,,,,,0,
Merelbeke,9820,Projet neuf - Maisons,1,389000€,,0,0,0,0,,0,,,,,0,
Gesves,5340,Villa,1,569000€,6,0,0,0,1,57,0,,324,2202,4,0,Fraîchement rénové
Kraainem,1950,Appartement,1,715000€,2,1,0,0,1,6,0,,126,,2,0,Excellent état
Ixelles,1050,Appartement,1,1550000€,3,1,0,0,1,39,0,,213,,,0,Excellent état
Averbode,3271,Maison,1,230000€,4,0,0,0,1,25,1,150,226,398,3,0,À rénover
Ramsel,2230,Maison,1,329000€,3,1,0,1,0,,1,6,202,600,3,0,Excellent état
Uccle,1180,Studio,1,224500€,1,1,0,1,1,1,0,,52,,2,0,Bon
Trooz,4870,Bien exceptionnel,1,349000€,5,1,0,1,1,40,1,450,350,700,3,0,Bon
Gand,9000,Appartement,1,358000€,2,0,0,0,1,1,0,,85,,2,0,Bon
Anvers,2060,Loft,1,360500€,2,0,0,0,1,25,0,,114,,2,0,Bon
Rixensart,1330,Maison,1,585000€,5,1,0,0,1,74,0,,187,483,3,0,Bon
Uccle,1180,Appartement,1,780000€,3,1,0,0,1,135,0,,190,,3,0,Fraîchement rénové
Ans,4430,Appartement,1,210000€,2,0,0,0,1,5,0,,77,,,0,Excellent état
Ans,4430,Appartement,1,250000€,2,0,0,0,1,5,0,,97,,3,0,Excellent état
Wielsbeke,8710,Residentie Fleur De Lin in Wielsbeke,0,De 165000€ À 449000€,,0,0,0,0,,0,,,,,0,
Blankenberge,8370,Duplex,1,199000€,2,0,0,0,0,,0,,87,,2,0,Bon
Bois,5170,La Clé Des Champs - Bloc,0,De 210000€ À 225000€,,0,0,0,0,,0,,,,,0,
LAKEN,1020,"Residentie ""Sariette""",1,614000€,,0,0,0,0,,0,,,,,0,
Gooik,1755,Maison,1,259000€,3,1,0,0,0,,0,,116,810,3,0,À rafraîchir
